             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           3396134    nongpu run_FLOR  gvecchi PD       0:00    139 (Resources)
 3450687_[4-23%50]       all Run72Sho    jas11 PD       0:00      2 (QOSMaxJobsPerUserLimit)
           3450642    nongpu submitjo  uwaheed PD       0:00     32 (Resources)
           3450641    nongpu submitjo  uwaheed PD       0:00     32 (Resources)
           3450643    nongpu submitjo  uwaheed PD       0:00     32 (Resources)
           3450656    nongpu sbatch_s   wenbow PD       0:00     16 (Resources)
           3450666       all purdue_f muellerm PD       0:00     16 (Resources)
           3447756    nongpu ad-s9.0.  dradice PD       0:00     64 (Resources)
           3450459    nongpu ad-s10.0  dradice PD       0:00     64 (Resources)
           3450553    nongpu submit-r     xbai PD       0:00     47 (Resources)
           3450673    nongpu findhalo   ygovil PD       0:00      1 (Resources)
           3450424    nongpu v2.sel_2     rea3 PD       0:00      6 (Resources)
           3450425    nongpu v2.lsn_2     rea3 PD       0:00      6 (Resources)
           3450426    nongpu v2.hsn_2     rea3 PD       0:00      6 (Resources)
           3450427    nongpu v2.sel_2     rea3 PD       0:00      6 (Resources)
           3450458    nongpu submit.s     jmy2 PD       0:00      1 (Resources)
           3450456    nongpu submit.s     jmy2 PD       0:00      1 (Resources)
           3450412    nongpu gad32.cm ena.choi PD       0:00      8 (Resources)
           3450433    nongpu NaCl.3.s     haoj PD       0:00      1 (Resources)
           3450434    nongpu NaCl.4.s     haoj PD       0:00      1 (Resources)
           3450435    nongpu NaCl.5.s     haoj PD       0:00      1 (Resources)
           3450436    nongpu NaCl.6.s     haoj PD       0:00      1 (Resources)
           3450437    nongpu NaCl.7.s     haoj PD       0:00      1 (Resources)
           3450438    nongpu NaCl.8.s     haoj PD       0:00      1 (Resources)
           3450439    nongpu NaCl.9.s     haoj PD       0:00      1 (Resources)
           3450440    nongpu NaCl.10.     haoj PD       0:00      1 (Resources)
           3450441    nongpu NaCl.11.     haoj PD       0:00      1 (Resources)
           3450442    nongpu NaCl.12.     haoj PD       0:00      1 (Resources)
           3450443    nongpu NaCl.13.     haoj PD       0:00      1 (Resources)
           3450444    nongpu NaCl.14.     haoj PD       0:00      1 (Resources)
           3450445    nongpu NaCl.15.     haoj PD       0:00      1 (Resources)
           3450446    nongpu NaCl.16.     haoj PD       0:00      1 (Resources)
           3450447    nongpu NaCl.17.     haoj PD       0:00      1 (Resources)
           3450448    nongpu NaCl.18.     haoj PD       0:00      1 (Resources)
           3450449    nongpu NaCl.19.     haoj PD       0:00      1 (Resources)
           3450450    nongpu NaCl.20.     haoj PD       0:00      1 (Resources)
           3450451    nongpu NaCl.21.     haoj PD       0:00      1 (Resources)
           3450452    nongpu NaCl.22.     haoj PD       0:00      1 (Resources)
           3450453    nongpu NaCl.23.     haoj PD       0:00      1 (Resources)
           3450454    nongpu NaCl.24.     haoj PD       0:00      1 (Resources)
           3449111    nongpu     jobs  xunhuaz PD       0:00     20 (Resources)
           3449114    nongpu     jobs  xunhuaz PD       0:00     20 (Resources)
           3449117    nongpu     jobs  xunhuaz PD       0:00     20 (Resources)
           3449119    nongpu     jobs  xunhuaz PD       0:00     20 (Resources)
           3447384    nongpu  pbe_a_w mandrade PD       0:00     14 (Resources)
           3448334    nongpu dmrg.cmd    hwonk PD       0:00      1 (Resources)
           3450411    nongpu FerriFer mandrade PD       0:00     10 (Resources)
           3449591    nongpu run_tran  elviras PD       0:00      2 (Resources)
           3448335    nongpu dmrg.cmd    hwonk PD       0:00      1 (Resources)
           3449059    nongpu tigress_    hwonk PD       0:00      1 (Resources)
           3448930    nongpu D:2Ca_8H kengrany  R   19:09:58      1 tiger-r10c1n9
         3450687_2       all Run72Sho    jas11  R       0:18      2 tiger-r1c2n[3-4]
         3450687_3       all Run72Sho    jas11  R       0:18      2 tiger-r1c2n[7,10]
           3445991    nongpu parallel    yajun  R 1-18:20:43      1 tiger-r3c4n6
           3445986    nongpu parallel    yajun  R 1-18:23:44      1 tiger-r14n1
           3445988    nongpu parallel    yajun  R 1-18:23:44      1 tiger-r14n2
