             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           3396134    nongpu run_FLOR  gvecchi PD       0:00    139 (Resources)
           3435658    nongpu submitjo  uwaheed PD       0:00     32 (Resources)
           3435699    nongpu submit_s   wenbow PD       0:00     20 (Resources)
           3435698    nongpu submit_s   wenbow PD       0:00     20 (Resources)
           3435773    nongpu NEB_Prod   lessio PD       0:00     12 (Resources)
           3435799    nongpu VASP_CZT tsenftle PD       0:00      8 (Resources)
           3435808    nongpu   ma_emb      qou PD       0:00      4 (Resources)
           3435785    nongpu VASP_CZT tsenftle PD       0:00      4 (Resources)
           3435786    nongpu VASP_CZT tsenftle PD       0:00      4 (Resources)
           3435789    nongpu VASP_CZT tsenftle PD       0:00      4 (Resources)
           3435796    nongpu VASP_CZT tsenftle PD       0:00      4 (Resources)
           3435820    nongpu VASP_ref   vspata PD       0:00      8 (Resources)
           3435819    nongpu VASP_ref   vspata PD       0:00      4 (Resources)
           3435654    nongpu RATSCO2P   anunno PD       0:00      8 (Resources)
           3435547    nongpu NaCl.16.     haoj PD       0:00      1 (Resources)
           3435546    nongpu NaCl.15.     haoj PD       0:00      1 (Resources)
           3435548    nongpu NaCl.17.     haoj PD       0:00      1 (Resources)
           3435549    nongpu NaCl.18.     haoj PD       0:00      1 (Resources)
           3435550    nongpu NaCl.19.     haoj PD       0:00      1 (Resources)
           3435567    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435568    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435569    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435570    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435571    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435572    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435573    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435574    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435575    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435576    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435577    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435599    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435600    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435601    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435602    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435603    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435604    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435605    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435606    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435607    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435608    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435609    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435578    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435579    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435580    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435581    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435582    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435583    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435584    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435585    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435586    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435587    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435588    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435589    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435590    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435591    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435592    nongpu solution     jmy2 PD       0:00      1 (Resources)
           3435593    nongpu solution     jmy2 PD       0:00      1 (Resources)
